Position,Track Name,Artist,Streams,URL,Date,Region
1,Reggaetón Lento (Bailemos),CNCO,16672,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-02,ec
2,Chantaje,Shakira,15594,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-02,ec
3,Otra Vez (feat. J Balvin),Zion & Lennox,13507,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-02,ec
4,Safari,J Balvin,11958,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-02,ec
5,Vente Pa' Ca,Ricky Martin,11590,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-02,ec
6,Let Me Love You,DJ Snake,9096,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,ec
7,Ay Mi Dios,IAmChino,9023,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-02,ec
8,Traicionera,Sebastian Yatra,8511,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2017-01-02,ec
9,La Bicicleta,Carlos Vives,8288,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2017-01-02,ec
10,Vacaciones,Wisin,8205,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-02,ec
1,Reggaetón Lento (Bailemos),CNCO,16652,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-09,ec
2,Chantaje,Shakira,15212,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-09,ec
3,Otra Vez (feat. J Balvin),Zion & Lennox,13197,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-09,ec
4,Shape of You,Ed Sheeran,12200,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-01-09,ec
5,Safari,J Balvin,11144,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-09,ec
6,Vente Pa' Ca,Ricky Martin,10843,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-09,ec
7,Let Me Love You,DJ Snake,9479,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-09,ec
8,Vacaciones,Wisin,9441,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-09,ec
